character,averageOrder,count,name
Gangster,7.85764,119,Gangster
Casting Director,7.53852,119,Director
Servant,8.23023,118,Servant
Gang Member,8.08689,117,Member
Cowboy,7.87053,117,Cowboy
(2018),7.21154,117,(2018)
Villager,8.16164,116,Villager
Bully,7.8917,115,Bully
Janitor,7.85519,115,Janitor
Scientist,8.01667,115,Scientist
Killer,7.54188,114,Killer
Partygoer,8.27273,110,Partygoer
Investigator,7.10644,110,Investigator
Cameraman,8.05046,109,Cameraman
(2017),7.24537,108,(2017)
Nonsex,7.85319,107,Nonsex
Panelist,6.96473,107,Panelist
(2012),7.30635,105,(2012)
Voice,7.79712,104,Voice
Grandfather,7.72498,104,Grandfather
Clown,8.08692,103,Clown
Minor Role,8.56766,101,Role
Robber,7.65583,100,Robber
María,7.91139,100,María
Witness,8.03571,98,Witness
Correspondent,7.13601,97,Correspondent
Padre,8.08093,97,Padre
Uncle,7.63359,97,Uncle
Businessman,8.15464,97,Businessman
Vampire,7.71209,96,Vampire
Postman,8.31088,95,Postman
Grandpa,7.77935,95,Grandpa
Stripper,8.21368,95,Stripper
Co-Host,6.72677,93,Co-Host
(2001),7.3587,92,(2001)
Salesman,8.34155,92,Salesman
Ensemble,7.87538,92,Ensemble
Pianist,8.54801,92,Pianist
Co-Worker,7.84239,92,Co-Worker
Dealer,7.95109,92,Dealer
Secretaria,8.25844,91,Secretaria
(2015),7.27473,91,(2015)
Prison Guard,7.62308,91,Guard
Polizist,8.04558,91,Polizist
Mechanic,8.35222,90,Mechanic
Band Member,7.83433,90,Member
Therapist,7.43323,89,Therapist
Barmaid,8.44129,88,Barmaid
Chauffeur,8.51136,88,Chauffeur
Drummer,7.53555,88,Drummer
Cheerleader,7.05871,88,Cheerleader
Worker,8.36015,87,Worker
Mum,7.52543,87,Mum
Psychiatrist,7.98851,87,Psychiatrist
Hotel Manager,8.57663,87,Manager
Librarian,7.7434,87,Librarian
The Mother,7.39554,86,Mother
Passerby,8.06202,86,Passerby
Conductor,7.73108,84,Conductor
(2007),7.2619,84,(2007)
Jogger,7.70482,83,Jogger
Tourist,8.10843,83,Tourist
François,8.13081,82,François
Coroner,8.34756,82,Coroner
Orderly,8.16713,82,Orderly
Multiple Scenes,7.94022,82,Scenes
(2016),6.92416,81,(2016)
College Student,7.90535,81,Student
(1990),7.61498,80,(1990)
Fireman,8.21042,80,Fireman
Burglar,7.78437,80,Burglar
Stud,8.19958,79,Stud
Shop Assistant,8.37975,79,Assistant
Additional Voice,7.58095,79,Voice
The Nurse,8.06329,79,Nurse
(2002),7.29831,79,(2002)
(2010),7.28846,78,(2010)
Guitarist,7.98718,78,Guitarist
The Father,7.66026,78,Father
Police Inspector,8.52165,77,Inspector
(1996),7.50658,76,(1996)
(2011),7.28947,76,(2011)
Invitado,7.45921,76,Invitado
Young Woman,7.90889,75,Woman
The Detective,7.62222,75,Detective
Policewoman,8.19697,75,Policewoman
Bailiff,8.10852,75,Bailiff
Shopkeeper,8.22523,74,Shopkeeper
Witch,8.10328,74,Witch
Employee,7.79452,73,Employee
Regular,7.06233,73,Regular
Kidnapper,7.52329,73,Kidnapper
Barista,7.6758,73,Barista
Stranger,8.10417,72,Stranger
André,7.92579,72,André
Assassin,7.55506,72,Assassin
Thug #1,8.06435,72,#1
José,7.87852,72,José
Pedestrian,7.78472,72,Pedestrian
Poliisi,8.2,71,Poliisi
Drums,7.64789,71,Drums
(1997),7.33099,71,(1997)
(2013),7.11786,70,(2013)
Preacher,7.75476,70,Preacher
Juror,8.15,70,Juror
Nun,8.12143,70,Nun
Bank Manager,7.97619,70,Manager
(2000),7.21014,69,(2000)
Hitman,8.06142,69,Hitman
Fisherman,8.28986,69,Fisherman
Fighter,8.42512,69,Fighter
Monster,7.52607,69,Monster
The Minister,7.20956,68,Minister
Background,7.95539,68,Background
Tv Reporter,7.85074,68,Reporter
(2009),7.23856,68,(2009)
Aunt,8.32353,68,Aunt
Classmate,8.49403,67,Classmate
Girl #1,8.20896,67,#1
Lucía,7.89278,67,Lucía
(1987),7.39413,67,(1987)
Hélène,8.00374,66,Hélène
Prosecutor,8.11059,66,Prosecutor
Chairman,8.1303,66,Chairman
Chorus,7.86338,66,Chorus
Cop #1,8.23106,66,#1
La Mère,7.83077,65,Mère
Doktor,8.2256,65,Doktor
Undetermined Secondary Role,8.33077,65,Role
Attorney,8.00781,64,Attorney
(1998),7.43734,64,(1998)
Band,7.50859,64,Band
(Guest Star),8.30469,64,Star)
Intern,8.273,64,Intern
Girl 2,7.8254,63,2
Cop #2,7.98413,63,#2
Drunk,8.34656,63,Drunk
Radio Announcer,8.20847,63,Announcer
(2005),7.44758,62,(2005)
The Director,7.67696,62,Director
Invitada,7.6129,62,Invitada
Raúl,8.03568,61,Raúl
District Attorney,8.44944,60,Attorney
Françoise,8.05486,60,Françoise
Doorman,7.95495,60,Doorman
Newsreader,7.30904,60,Newsreader
Biker,7.825,60,Biker
Dog,7.59887,59,Dog
Girl 1,7.88701,59,1
Editor,8.14407,59,Editor
Tomás,7.98794,59,Tomás
Magician,7.93678,58,Magician
Le Médecin,8.21264,58,Médecin
The Woman,7.66379,58,Woman
(1999),7.25862,58,(1999)
Stage Manager,8.21379,58,Manager
Ship Passenger,7.56838,57,Passenger
Innkeeper,8.32456,57,Innkeeper
Martín,8.17541,57,Martín
(1995),7.20614,57,(1995)
(Herself),7.56472,57,(Herself)
Lead,7.24342,57,Lead
Audience,7.5355,56,Audience
Policía,8.27679,56,Policía
(1983),7.49107,56,(1983)
Médico,8.16458,56,Médico
(2006),7.46429,56,(2006)
Magistrate,8.40689,56,Magistrate
(2004),7.15476,56,(2004)
Matron,8.22121,55,Matron
Thug 2,7.81818,55,2
Lui-Même,7.83636,55,Lui-Même
Dancers,8.13351,55,Dancers
Mourner,8.59091,55,Mourner
Flight Attendant,7.82378,55,Attendant
Andrés,7.84666,55,Andrés
Singers,7.74691,54,Singers
René,7.79498,54,René
Pirate,8.26852,54,Pirate
Granny,7.76508,54,Granny
Housekeeper,8.15094,53,Housekeeper
Bum,8.17925,53,Bum
Headmaster,8.16751,53,Headmaster
Shopper,8.25472,53,Shopper
Computer,7.49618,53,Computer
Bystander,7.88679,53,Bystander
The Stranger,8.05975,53,Stranger
Housewife,8.04808,52,Housewife
Bonus Scene,7.22115,52,Scene
Protester,7.77885,52,Protester
Attendant,8.33654,52,Attendant
Terrorist,7.79808,52,Terrorist
Gambler,8.06863,51,Gambler
Spectator,7.97059,51,Spectator
Bandit,7.85839,51,Bandit
Inmate,7.73856,51,Inmate
Voice Over,7.27038,51,Over
Writer,7.70915,51,Writer
Death,7.33339,51,Death
Choreographer,7.67554,51,Choreographer
Dokter,8.10065,51,Dokter
Girl #2,8.04667,50,#2
Puppeteer,7.46173,50,Puppeteer
Ramón,8.14095,50,Ramón
Mugger,7.58333,50,Mugger
Student #1,7.97,50,#1
Construction Worker,8.06,50,Worker
Guitar,8.11,50,Guitar
Hostage,7.60204,49,Hostage
Arzt,8.10204,49,Arzt
(1989),7.48469,49,(1989)
Sofía,7.92916,49,Sofía
Vater,7.80159,48,Vater
Crowd,8.16667,48,Crowd
Security,7.74306,48,Security
Townsman,8.67014,48,Townsman
(1994),6.94792,48,(1994)
Auctioneer,7.77083,48,Auctioneer
Stewardess,8.32292,48,Stewardess
Lover,7.54255,47,Lover
João,7.89141,47,João
Operator,7.85745,47,Operator
The Policeman,7.65603,47,Policeman
Niño,8.48936,47,Niño
Guard #2,8.47872,47,#2
The Bartender,7.87234,47,Bartender
Woman #1,8.25532,47,#1
Satan,7.44212,47,Satan
The Wife,7.52128,47,Wife
High School Student,7.92695,47,Student
(1991),7.2234,47,(1991)
Female Student,8.07428,46,Student
Víctor,8.19276,46,Víctor
Mónica,7.43699,46,Mónica
Thug #2,8.07609,46,#2
(1993),7.01812,46,(1993)
Social Worker,8.46739,46,Worker
Diner,8.07246,46,Diner
Tramp,8.40222,45,Tramp
Regular Performer,7.30439,45,Performer
Schoolgirl,8.42407,45,Schoolgirl
Le Père,8.26296,45,Père
Guard #1,8.58889,45,#1
Félix,7.79899,45,Félix
Tv Announcer,7.92778,45,Announcer
Le Commissaire,7.76889,45,Commissaire
Elf,7.74074,45,Elf
(1992),7.35885,45,(1992)
Recreation Actor,7.23667,45,Actor
Cleaner,8.04545,44,Cleaner
Reenactment,7.60795,44,Reenactment
Series Regular,7.1273,44,Regular
Storyteller,7.67625,44,Storyteller
Masseuse,7.99242,44,Masseuse
Roommate,7.46023,44,Roommate
Pop,8.22133,44,Pop
Policier,8.37652,44,Policier
César,7.42586,43,César
(1986),7.31977,43,(1986)
Caretaker,8.23256,43,Caretaker
Student #2,7.73256,43,#2
Cult Member,7.51163,43,Member
Funeral Attendee,8.22093,43,Attendee
Thug 1,7.86047,43,1
Guests,6.65134,43,Guests
Psychologist,7.58527,43,Psychologist
Courier,8.03571,42,Courier
The Professor,7.90734,42,Professor
Paparazzi,8.09206,42,Paparazzi
Teenager,7.48095,42,Teenager
Pharmacist,7.4127,42,Pharmacist
Hobo,7.32326,42,Hobo
Barfly,8.38889,42,Barfly
Crew Member,7.61905,42,Member
(2008),7.31429,42,(2008)
Mistress,7.8373,42,Mistress
Pimp,7.70238,42,Pimp
Emt,7.65041,41,Emt
Tv Host,7.50569,41,Host
L'Infirmière,8.19512,41,L'Infirmière
Expert,6.98568,41,Expert
Technician,8.28455,41,Technician
Man 2,7.79268,41,2
Reenactor,7.43699,41,Reenactor
Valet,8.5,41,Valet
German Soldier,8.375,40,Soldier
Man #1,8.1875,40,#1
Robot,7.8875,40,Robot
Bridesmaid,7.91667,40,Bridesmaid
Choir,8.0575,40,Choir
Moderator,7.74625,40,Moderator
Participant,7.175,40,Participant
Rapist,8.0875,40,Rapist
Milkman,8.2125,40,Milkman
(2003),7.4125,40,(2003)
Detective #1,7.875,40,#1
Geneviève,8.11864,40,Geneviève
Special Appearance,7.34829,39,Appearance
Detective #2,7.49145,39,#2
Cop 1,7.82712,39,1
Church Member,8.48718,39,Member
Counselor,7.68795,39,Counselor
Enfermera,7.75214,39,Enfermera
(1985),7.76923,39,(1985)
The Narrator,7.70898,39,Narrator
Kommissar,8.35897,39,Kommissar
Júlia,7.79195,39,Júlia
Restaurant Manager,7.72222,39,Manager
Skateboarder,7.80769,39,Skateboarder
Assistant Director,8.19444,39,Director
Protestor,7.75,38,Protestor
Bárbara,7.92933,38,Bárbara
Valérie,8.42763,38,Valérie
Staatsanwalt,7.77796,38,Staatsanwalt
Camarero,7.97368,38,Camarero
Dispatcher,7.76754,38,Dispatcher
Introducing,8.2973,37,Introducing
Le Docteur,8.46362,37,Docteur
Spider,8.21236,37,Spider
Le Curé,7.72072,37,Curé
Guest Appearance,8.03153,37,Appearance
Devil,7.60811,37,Devil
Police Officer #2,7.92793,37,#2
Blonde,7.81371,37,Blonde
Cliente,7.86486,37,Cliente
Guest - Himself,6.97297,37,Himself
Family Member,7.75676,37,Member
Joker,7.71986,37,Joker
Designer,7.40991,37,Designer
Hippie,7.48649,37,Hippie
Suspect,7.61111,36,Suspect
(1988),6.88194,36,(1988)
Junkie,7.84722,36,Junkie
Mother Superior,8.66111,36,Superior
Slave,7.98611,36,Slave
Kandidaat,6.92774,36,Kandidaat
Store Owner,8.29167,36,Owner
Bit Role,8.74074,36,Role
Instructor,7.63796,36,Instructor
Server,8.11806,36,Server
Customer #1,7.62037,36,#1
Solicitor,8.51389,36,Solicitor
Emcee,7.68056,36,Emcee
Léo,7.71557,36,Léo
Police Officer #1,7.50926,36,#1
Mailman,7.9463,36,Mailman
Woman 2,7.98611,36,2
Babysitter,7.70833,36,Babysitter
Profesor,7.60173,36,Profesor
Plumber,8.01429,35,Plumber
Criminal,7.76667,35,Criminal
Lesbian,8.02143,35,Lesbian
Le Notaire,7.96015,35,Notaire
Cop 2,8.3,35,2
Man #2,7.74286,35,#2
911 Operator,7.64286,35,Operator
Visitor,8.02857,35,Visitor
Comandante,8.36667,35,Comandante
Cécile,7.89501,35,Cécile
(1982),6.87143,35,(1982)
Henchman #2,8.07353,34,#2
L'Inspecteur,8.38235,34,L'Inspecteur
Business Woman,7.95588,34,Woman
Mädchen,8.15784,34,Mädchen
The Waitress,8.07353,34,Waitress
Caller,7.39706,34,Caller
Skater,8.35294,34,Skater
Nonsex Role,8.16176,34,Role
(1973),7.26471,34,(1973)
The Manager,7.80252,34,Manager
Competitor,7.58155,34,Competitor
Cabbie,7.85629,33,Cabbie
Groupie,7.29545,33,Groupie
Supervisor,7.625,33,Supervisor
Gran,7.38933,33,Gran
Hipster,7.70202,33,Hipster
Kellner,8.31818,33,Kellner
Mime,7.4899,33,Mime
Themself,7.38889,33,Themself
Polis,7.75758,33,Polis
Jurylid,7.38672,33,Jurylid
Police Detective,8.13636,33,Detective
Dressing Room Comedy Skit,6.57601,33,Skit
Orchestra,7.18586,33,Orchestra
Customer #2,7.89394,33,#2
Sebastián,7.72655,32,Sebastián
Prime Minister,8.11979,32,Minister
The Girlfriend,8.07812,32,Girlfriend
Medical Examiner,7.59115,32,Examiner
Vocals,7.39688,32,Vocals
Friend #2,8.10938,32,#2
Snake,7.85729,32,Snake
Various Voices,7.5,32,Voices
Le Policier,8.12188,32,Policier
Casting Assistant,7.42708,32,Assistant
Scene 3,7.05729,32,3
Survivor,7.60938,32,Survivor
Concierge,7.375,32,Concierge
Friend 1,7.65625,32,1
Villain,8.07812,32,Villain
Thérèse,7.94472,32,Thérèse
Jérôme,7.25652,32,Jérôme
Bellboy,8.25,32,Bellboy
Widow,8.17188,32,Widow
Customer 2,8.09375,32,2
Undercover Cop,7.47917,32,Cop
Buyer,7.6875,32,Buyer
Restaurant Customer,7.57812,32,Customer
Man 1,7.57813,32,1
Pierrot,8.07845,32,Pierrot
Wrestlers,7.48925,31,Wrestlers
Sekretärin,8.20507,31,Sekretärin
Saleswoman,8.15591,31,Saleswoman
Executive,8.18182,31,Executive
Héctor,7.67031,31,Héctor
Maitre D',8.01165,31,D'
Zoé,7.69925,31,Zoé
Rapper,7.98065,31,Rapper
Superman,7.36022,31,Superman
La Concierge,8.41398,31,Concierge
Policia,7.6129,31,Policia
Dentist,8.24194,31,Dentist
Nonsex Performers,8.35565,31,Performers
Henchman #1,7.9086,31,#1
Performers,7.08065,31,Performers
Youth,8.75269,31,Youth
The Secretary,8.15822,31,Secretary
Dracula,7.54288,30,Dracula
Store Manager,8.03333,30,Manager
Girl 3,7.66667,30,3
Äiti,7.97778,30,Äiti
Elle-Même,7.33333,30,Elle-Même
Reporter #2,8.31667,30,#2
Jury Member,7.98333,30,Member
Florist,8.03333,30,Florist
Friend #1,8.21667,30,#1
Shop Owner,7.96667,30,Owner
Guest Vocalist,7.13333,30,Vocalist
Reporter #1,7.75556,30,#1
Álvaro,8.34194,30,Álvaro
Swinger,7.95,30,Swinger
Narrador,7.87222,30,Narrador
Ex-Girlfriend,7.36667,30,Ex-Girlfriend
Customer 1,7.71667,30,1
Yoga Student,7.93333,30,Student
Guard 2,8.125,30,2
Ángel,8.12944,30,Ángel
Choir Member,8.05,30,Member
Gérard,8.17992,29,Gérard
Bank Robber,7.53448,29,Robber
Firefighter,7.77586,29,Firefighter
Lúcia,7.58797,29,Lúcia
Gentleman,8.15517,29,Gentleman
Cast Member,6.95356,29,Member
Student 1,8.08621,29,1
Monkey,6.98809,29,Monkey
Punk,7.76293,29,Punk
Student 2,8.34483,29,2
Comic,7.84072,29,Comic
(1980),7.48276,29,(1980)
Woman 1,7.94828,29,1
Bürgermeister,8.00575,29,Bürgermeister
Agente,8.14368,29,Agente
Various Impressions,7.94887,29,Impressions
Body Guard,7.93103,29,Guard
Vecina,7.98276,29,Vecina
Sniper,7.26339,28,Sniper
Friend 2,7.53571,28,2
Young Mother,8.42857,28,Mother
Opa,8.1018,28,Opa
Stylist,7.77083,28,Stylist
The Devil,7.80357,28,Devil
Infected,8.10714,28,Infected
Cowgirl,7.57738,28,Cowgirl
Soldat,8.10714,28,Soldat
Corpse,6.92262,28,Corpse
Ballerina,8.125,28,Ballerina
Véronique,7.96183,28,Véronique
Bassist,8.02976,28,Bassist
Guest - Herself,6.55357,28,Herself
Townsperson,8.10714,28,Townsperson
Gunman,7.82143,28,Gunman
Guest Host,6.27976,28,Host
Politieagent,8.01587,28,Politieagent
Supporting,7.74107,28,Supporting
Tarjoilija,7.91071,28,Tarjoilija
Agnès,7.85714,28,Agnès
Suzuki,8.10714,28,Suzuki
Superintendent,8.46429,28,Superintendent
Male Student,8.19643,28,Student
Businesswoman,7.32143,28,Businesswoman
Recepcionista,8.14286,28,Recepcionista
Undertaker,8.72619,28,Undertaker
Violinist,8.44444,27,Violinist
Bit Part,8.24074,27,Part
Periodista,8.22222,27,Periodista
Guest At Harry'S,7.66049,27,Harry'S
Surfer,7.56944,27,Surfer
Pregnant Woman,8.09259,27,Woman
Woman #2,8.2037,27,#2
Registrar,8.59259,27,Registrar
Kid #1,8,27,#1
Niña,8.07407,27,Niña
Voiceover,7.7037,27,Voiceover
Medic,7.87037,27,Medic
Male Nurse,8.27778,27,Nurse
Refugee,8.5,27,Refugee
Interviewed,8,27,Interviewed
La Grand-Mère,8.29259,27,Grand-Mère
Customs Officer,8.37037,27,Officer
Auditioner,8.14815,27,Auditioner
Le Journaliste,7.94765,27,Journaliste
Computer Voice,7.51479,27,Voice
Boy #1,8.57407,27,#1
Interrogator,7.83333,27,Interrogator
Guard 1,8.26543,27,1
Julián,7.80988,27,Julián
Animal Care Specialist,7.61543,27,Specialist
Hotel Receptionist,7.98148,27,Receptionist
Portier,8.2284,27,Portier
Restaurant Owner,8.08333,27,Owner
Hairdresser,8.03086,27,Hairdresser
Nurse #1,8.09259,27,#1
The Killer,7.57407,27,Killer
Chloé,7.57511,27,Chloé
Horse,7.8009,27,Horse
Additional Characters,7.72222,27,Characters
Scene 4,7.57407,27,4
Car Salesman,8.11111,27,Salesman
Peasant,8.24074,27,Peasant
Guy 2,7.69231,26,2
Lääkäri,8.53846,26,Lääkäri
Factory Worker,8.34615,26,Worker
Steve'S Friends,7.75,26,Friends
Théo,7.89392,26,Théo
Official,8.90385,26,Official
Prison Officer,8.5,26,Officer
The Cop,8.13462,26,Cop
Creature,8.25,26,Creature
Boy 2,8.38462,26,2
Bar Customer,8.07051,26,Customer
Citizen,7.46154,26,Citizen
Victim #1,8.09615,26,#1
T.J.,7.18377,26,T.J.
Mobster,8.25,26,Mobster
Builder,7.52404,26,Builder
Bailarina,7.65385,26,Bailarina
Prince Charming,7.49267,26,Charming
Convict,7.96154,26,Convict
Pupil,7.93501,26,Pupil
Accountant,8.25,26,Accountant
Hitchhiker,8.07692,26,Hitchhiker
Private Investigator,7.64744,26,Investigator
Comisario,8.04808,26,Comisario
Masseur,8.19231,26,Masseur
Verónica,7.50962,26,Verónica
Pathologist,8.23077,26,Pathologist
Vrouw,7.89423,26,Vrouw
Office Manager,8.19231,26,Manager
Staff Humorist,7.126,26,Humorist
Rabbit,7.57093,26,Rabbit
Production Assistant,8.32,25,Assistant
Kandidat,7.36,25,Kandidat
Storekeeper,8.28,25,Storekeeper
Stéphane,8.05333,25,Stéphane
Girl At Party,8.52,25,Party
Regisseur,7.84667,25,Regisseur
Politician,8.14,25,Politician
A Policeman,8.01333,25,Policeman
Schoolboy,8.54,25,Schoolboy
Homeless Woman,8.3,25,Woman
Realtor,7.57667,25,Realtor
Tenant,7.41333,25,Tenant
Athlete,7.16,25,Athlete
Yoga Instructor,7.68,25,Instructor
Sketch Actor,7.8,25,Actor
Vet,8.08,25,Vet
Secondary Role,8.14667,25,Role
Sacerdote,8.186,25,Sacerdote
Psychic,7.78,25,Psychic
Dominatrix,7.84,25,Dominatrix
La Secrétaire,8.045,25,Secrétaire
Stéphanie,7.31184,25,Stéphanie
Police Commissioner,8.45238,25,Commissioner
Fabián,7.76636,25,Fabián
Hiker,7.32,25,Hiker
Pig,7.538,25,Pig
Recepcionist,7.96,25,Recepcionist
Pepa,8.21687,25,Pepa
Cafe Customer,8.24,25,Customer
Vendor,7.72667,25,Vendor
Mother-In-Law,8.7,25,Mother-In-Law
Co-Pilot,8.1,25,Co-Pilot
The Stenographer,7.38,25,Stenographer
Barkeeper,7.95,25,Barkeeper
Non-Sexual Role,8.41333,25,Role
Klant,8.11333,25,Klant
Soloist,8.64,25,Soloist
Grandad,7.7745,24,Grandad
Homeless,7.6875,24,Homeless
Verpleegster,8.09375,24,Verpleegster
Madam,8.5625,24,Madam
Q,7.6875,24,Q
Journaliste,7.60417,24,Journaliste
Detective 2,7.95833,24,2
Nurse #2,8.83333,24,#2
Agent 1,7.84722,24,1
Coworker,8.0625,24,Coworker
Student 3,8.02083,24,3
Zombie #2,7.41667,24,#2
Inés,7.99479,24,Inés
Mujer,8.29167,24,Mujer
(1984),7.45833,24,(1984)
Croupier,8.45139,24,Croupier
Guide,7.875,24,Guide
Security Officer,7.8125,24,Officer
A.J.,7.73011,24,A.J.
Man 3,7.4375,24,3
Footman,8.76389,24,Footman
Owner,7.51225,24,Owner
Sveta,7.88333,24,Sveta
Elderly Woman,7.85417,24,Woman
Jailer,8.1875,24,Jailer
Erzähler,7.70486,24,Erzähler
Lab Technician,8.04167,24,Technician
Madame,8.79167,24,Madame
Prostituta,8,24,Prostituta
Tänzerin,8,24,Tänzerin
Le Président,7.61574,24,Président
Bandleader,7.10565,24,Bandleader
Violin,8.1087,23,Violin
Mário,6.98968,23,Mário
Zombie 1,7.76087,23,1
Funeral Director,8.28261,23,Director
L'Avocat,8.60145,23,L'Avocat
Angry Customer,7.93478,23,Customer
Art Student,7.97826,23,Student
Kid #2,8.34671,23,#2
Damián,8.24814,23,Damián
Csi,8.43478,23,Csi
Student #3,7.95652,23,#3
Office Employee,7.72464,23,Employee
Executioner,8.17391,23,Executioner
Himelf,6.82609,23,Himelf
Taxista,7.86957,23,Taxista
The Teacher,7.82174,23,Teacher
Auditioning Actor,7.54348,23,Actor
Patrícia,7.25443,23,Patrícia
Abuela,7.70797,23,Abuela
Mamma,7.18582,23,Mamma
Dudu,8.39404,23,Dudu
Guy 1,7.73478,23,1
Benoît,7.68919,23,Benoît
Home Invasion Victim,6.93478,23,Victim
Contributor,7.36025,23,Contributor
Commandant,8.36957,23,Commandant
Mercenary,8.73913,23,Mercenary
Matías,8.21478,23,Matías
Investor,7.93478,23,Investor
Teen,7.52899,23,Teen
Scene 1,7.13406,23,1
The Landlady,7.49275,23,Landlady
Rocío,8.58913,23,Rocío
Defense Attorney,7.54348,23,Attorney
Ludo,7.58116,23,Ludo
The Producer,7.26377,23,Producer
Cafe Owner,7.93478,23,Owner
Club Owner,8.56522,23,Owner
Nerd,8.02174,23,Nerd
Club Goer,8.3913,23,Goer
Jefe,7.52174,23,Jefe
Chica,8.04545,23,Chica
Frédéric,8.44384,23,Frédéric
Police Officer 2,8.73913,23,2
Boy 1,7.48485,22,1
Reportero,7.31413,22,Reportero
Luís,7.51061,22,Luís
Nicolás,8.36364,22,Nicolás
Kellnerin,8.06494,22,Kellnerin
Film Director,8.13636,22,Director
Guest Performer,7.47727,22,Performer
The Reporter,7.58333,22,Reporter
Mies,6.95455,22,Mies
Kunde,7.82955,22,Kunde
Houseguest,8.09892,22,Houseguest
Rat,8.30234,22,Rat
Angélica,7.40551,22,Angélica
The Burglar,8.15909,22,Burglar
Guy #1,8.13636,22,#1
Tyttö,8.47727,22,Tyttö
Architect,7.97727,22,Architect
Police Woman,8.73864,22,Woman
Master Of Ceremonies,8.06818,22,Ceremonies
Guy #2,7.90909,22,#2
The Witch,7.54545,22,Witch
Stormtrooper,7.87121,22,Stormtrooper
Le Procureur,7.78203,22,Procureur
Adrián,7.59143,22,Adrián
Briefträger,8.46212,22,Briefträger
The Host,7.51461,22,Host
Iván,7.88636,22,Iván
Gendarme,8.52273,22,Gendarme
Arresting Officer,7.20455,22,Officer
Léon,8.31385,22,Léon
Gorilla,7.73864,22,Gorilla
Board Member,8.02273,22,Member
António,7.93377,22,António
The Widow,8.21212,22,Widow
Loulou,8.18434,22,Loulou
Camera Operator,7.11364,22,Operator
The Daughter,7.97727,22,Daughter
Head Nurse,8.33953,22,Nurse
The Janitor,7.84091,22,Janitor
(1975),6.86364,22,(1975)
Security Guard #2,8.61364,22,#2
Señora,8.24621,22,Señora
Researcher,7.59129,22,Researcher
Soprano,8.06439,22,Soprano
Scene Three,7.68182,22,Three
Mouse,7.79323,22,Mouse
Colleague,7.73106,22,Colleague
Blacksmith,8.54895,22,Blacksmith
Kev,8.42235,22,Kev
Modelo,8.02841,22,Modelo
Laertes,8.56818,22,Laertes
Black Widow,7.60606,22,Widow
